종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 오일허브코리아여수,IR,BONDAV419832,공모/무보증A+,20260316,2.964,3.001,3.099,3.309,3.481,3.77,3.847,4.071,4.28,4.558,4.718,5.427,5.79,6.119,
시가평가 4사평균 예스코,IR,BONDAV455545,공모/무보증AA-,20260316,2.995,3.039,3.09,3.285,3.421,3.676,3.704,3.885,3.961,4.133,4.316,5.133,5.773,6.093,
시가평가 4사평균 예금보험공사,IR,BONDAV403938,공사/공단채정부보증,20260316,2.736,2.759,2.786,2.876,3.065,3.326,3.362,3.496,3.548,3.751,3.752,3.814,3.825,3.823,
시가평가 4사평균 연합자산관리,IR,BONDAV417733,공모/무보증AA0,20260316,2.993,3.029,3.083,3.277,3.411,3.622,3.641,3.806,3.857,3.981,4.073,4.74,5.244,5.524,
시가평가 4사평균 여천NCC,IR,BONDAV404223,공모/무보증A-,20260316,3.958,4.04,4.214,4.501,4.805,5.23,5.383,5.737,6.045,6.484,6.622,7.346,7.703,8.103,
시가평가 4사평균 여수광양항만공사,IR,BONDAV403936,공사/공단채AAA,20260316,2.831,2.877,2.918,3.024,3.195,3.46,3.523,3.68,3.724,3.876,3.895,3.959,3.968,3.974,3.866
시가평가 4사평균 엠지캐피탈,IR,BONDAV403839,기타금융채A0,20260316,3.825,4.068,4.215,4.358,4.54,5.013,5.243,5.642,5.936,6.19,6.254,6.755,6.962,7.125,
시가평가 4사평균 엘에스전선,IR,BONDAV413784,공모/무보증A+,20260316,2.95,2.989,3.075,3.28,3.451,3.724,3.743,3.936,4.167,4.51,4.693,5.412,5.814,6.169,
시가평가 4사평균 엘에스일렉트릭,IR,BONDAV401012,공모/무보증AA-,20260316,2.915,2.949,2.996,3.179,3.312,3.534,3.553,3.711,3.774,3.927,4.11,4.953,5.564,5.89,
시가평가 4사평균 엘에스엠트론,IR,BONDAV413785,공모/무보증A0,20260316,3.023,3.08,3.196,3.433,3.648,3.938,3.988,4.254,4.544,4.961,5.151,5.887,6.184,6.538,
시가평가 4사평균 엔에이치농협캐피탈,IR,BONDAV413844,기타금융채AA-,20260316,2.964,2.986,3.046,3.238,3.385,3.675,3.699,3.918,3.982,4.127,4.563,5.382,5.778,6.066,
시가평가 4사평균 엔씨소프트,IR,BONDAV412699,공모/무보증AA-,20260316,3.011,3.048,3.107,3.3,3.437,3.687,3.713,3.886,3.951,4.117,4.277,5.062,5.722,6.049,
시가평가 4사평균 에코프로비엠,IR,BONDAV453563, , , , , , , , , , , , , , , , ,
시가평가 4사평균 에코프로,IR,BONDAV410766,공모/무보증BBB+,20260316,3.736,4.004,4.377,4.704,5.135,5.81,6.014,6.449,6.678,6.958,7.04,7.631,7.84,8.236,
시가평가 4사평균 에코비트,IR,BONDAV459021,공모/무보증A+,20260316,3.081,3.127,3.234,3.461,3.673,3.988,4.039,4.263,4.482,4.827,5.012,5.734,6.137,6.492,
시가평가 4사평균 에이치디현대오일뱅크,IR,BONDAV400405,공모/무보증AA-,20260316,2.961,3.001,3.056,3.236,3.361,3.597,3.619,3.794,3.858,3.974,4.063,4.733,5.316,5.634,
시가평가 4사평균 에스케이인천석유화학,IR,BONDAV443076,공모/무보증A+,20260316,3.321,3.369,3.498,3.745,3.978,4.338,4.439,4.764,4.984,5.328,5.511,6.219,6.624,6.979,
시가평가 4사평균 에스케이온,IR,BONDAV465484,공모/무보증A+,20260316,3.455,3.502,3.627,3.855,4.086,4.425,4.491,4.724,4.937,5.28,5.468,6.189,6.587,6.944,
시가평가 4사평균 에스케이에코플랜트,IR,BONDAV400334,공모/무보증A-,20260316,3.694,3.773,3.937,4.178,4.708,5.085,5.23,5.564,5.91,6.421,6.554,7.281,7.633,8.016,
시가평가 4사평균 에스케이어드밴스드,IR,BONDAV446226,공모/무보증BBB+,20260316,4.457,4.884,5.333,5.672,6.373,7.192,7.462,7.896,8.115,8.368,8.416,8.828,9.065,9.456,
