종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 해태제과식품,IR,BONDAV412432,공모/무보증A0,20260401,3.114,3.209,3.387,3.675,3.922,4.232,4.283,4.495,4.723,5.094,5.259,6.026,6.415,6.783,
시가평가 4사평균 현대건설,IR,BONDAV400072,공모/무보증AA-,20260401,3.107,3.177,3.291,3.542,3.716,3.956,3.966,4.061,4.056,4.165,4.266,5.045,5.628,5.97,
시가평가 4사평균 현대글로비스,IR,BONDAV406753,공모/무보증AA+,20260401,2.956,3.031,3.13,3.375,3.543,3.776,3.774,3.856,3.854,3.94,3.973,4.446,4.704,4.97,
시가평가 4사평균 현대로템,IR,BONDAV406235,공모/무보증A+,20260401,2.836,2.906,3.063,3.318,3.567,3.868,3.838,3.975,4.131,4.435,4.59,5.369,5.739,6.105,
시가평가 4사평균 현대모비스,IR,BONDAV401233,공모/무보증AA+,20260401,2.956,3.032,3.123,3.37,3.525,3.78,3.764,3.857,3.844,3.943,3.964,4.441,4.68,4.944,
시가평가 4사평균 현대백화점,IR,BONDAV405248,공모/무보증AA+,20260401,2.953,3.02,3.112,3.353,3.515,3.725,3.728,3.815,3.81,3.887,3.914,4.371,4.626,4.885,
시가평가 4사평균 현대비앤지스틸,IR,BONDAV400456,공모/무보증A0,20260401,3.127,3.224,3.402,3.688,3.947,4.262,4.323,4.542,4.794,5.152,5.319,6.101,6.43,6.797,
시가평가 4사평균 현대엘리베이터,IR,BONDAV401780,공모/무보증A0,20260401,3.239,3.342,3.544,3.846,4.132,4.471,4.533,4.752,4.964,5.322,5.492,6.275,6.606,6.975,
시가평가 4사평균 현대위아,IR,BONDAV401121,공모/무보증AA-,20260401,3.07,3.141,3.251,3.503,3.674,3.9,3.905,3.987,3.996,4.131,4.281,5.152,5.741,6.077,
시가평가 4사평균 현대자동차,IR,BONDAV400538,공모/무보증AAA,20260401,2.941,3.019,3.107,3.346,3.525,3.747,3.758,3.843,3.848,3.927,3.94,4.313,4.522,4.768,
시가평가 4사평균 현대제철,IR,BONDAV400402,공모/무보증AA0,20260401,3.013,3.081,3.174,3.422,3.578,3.797,3.797,3.874,3.873,3.929,4.011,4.583,4.953,5.234,
시가평가 4사평균 현대종합특수강,IR,BONDAV443515,공모/무보증A-,20260401,3.254,3.384,3.582,3.878,4.196,4.551,4.535,4.718,5.024,5.509,5.587,6.371,6.676,7.073,
시가평가 4사평균 현대지에프홀딩스,IR,BONDAV400544,공모/무보증AA+,20260401,2.994,3.067,3.168,3.413,3.582,3.832,3.821,3.917,3.902,3.991,4.012,4.505,4.74,4.994,
시가평가 4사평균 현대차증권,IR,BONDAV400150,공모/무보증AA-,20260401,3.337,3.421,3.537,3.792,3.964,4.206,4.221,4.318,4.341,4.476,4.629,5.495,6.098,6.44,
시가평가 4사평균 현대카드,IR,BONDAV403404,카드채AA+,20260401,2.992,3.053,3.153,3.435,3.626,3.863,3.85,3.949,3.934,3.945,4.193,5.1,5.448,5.728,
시가평가 4사평균 현대캐피탈,IR,BONDAV402988,기타금융채AA+,20260401,2.984,3.044,3.144,3.426,3.616,3.855,3.841,3.942,3.926,3.938,4.191,5.091,5.44,5.722,
시가평가 4사평균 현대커머셜,IR,BONDAV411987,기타금융채AA-,20260401,3.025,3.097,3.208,3.492,3.667,3.887,3.885,4.012,4.031,4.126,4.537,5.392,5.765,6.048,
시가평가 4사평균 현대케미칼,IR,BONDAV452666,공모/무보증A0,20260401,3.27,3.373,3.562,3.864,4.142,4.457,4.503,4.743,4.959,5.301,5.48,6.248,6.568,6.913,
시가평가 4사평균 현대케피코,IR,BONDAV403864,공모/무보증A+,20260401,3.034,3.113,3.275,3.55,3.794,4.078,4.11,4.252,4.432,4.766,4.917,5.694,6.074,6.431,
시가평가 4사평균 현대코퍼레이션,IR,BONDAV401176,공모/무보증A0,20260401,3.194,3.289,3.478,3.774,4.028,4.33,4.386,4.624,4.918,5.313,5.477,6.246,6.605,6.973,
